CMDLINE C:\Programming\anaconda3\envs\cuda5\python.exe exec_reg_freesolv.py
MEM 1.964844 1742662343.6997
MEM 24.695312 1742662343.8153
MEM 35.390625 1742662343.9256
MEM 44.953125 1742662344.0360
MEM 199.398438 1742662344.1470
MEM 244.492188 1742662344.2582
MEM 265.019531 1742662344.3681
MEM 310.117188 1742662344.4837
MEM 325.082031 1742662344.5946
MEM 331.253906 1742662344.7054
MEM 343.535156 1742662344.8162
MEM 353.789062 1742662344.9179
MEM 360.757812 1742662345.0180
MEM 366.781250 1742662345.1187
MEM 370.132812 1742662345.2347
MEM 375.027344 1742662345.3353
MEM 391.179688 1742662345.4357
MEM 396.925781 1742662345.5358
MEM 404.664062 1742662345.6364
MEM 412.859375 1742662345.7477
MEM 413.800781 1742662345.8592
MEM 424.734375 1742662345.9707
MEM 438.988281 1742662346.0818
MEM 451.437500 1742662346.1920
MEM 456.312500 1742662346.3029
MEM 474.601562 1742662346.4139
MEM 487.835938 1742662346.5250
MEM 507.125000 1742662346.6357
MEM 515.722656 1742662346.7462
MEM 519.679688 1742662346.8574
MEM 526.679688 1742662346.9695
MEM 541.492188 1742662347.0804
MEM 557.425781 1742662347.1909
MEM 656.933594 1742662347.3020
MEM 679.746094 1742662347.4128
MEM 680.558594 1742662347.5239
MEM 681.105469 1742662347.6347
MEM 681.582031 1742662347.7458
MEM 682.175781 1742662347.8562
MEM 683.179688 1742662347.9674
MEM 683.960938 1742662348.0777
MEM 684.277344 1742662348.1890
MEM 684.734375 1742662348.2993
MEM 685.472656 1742662348.4094
MEM 686.406250 1742662348.5196
MEM 690.828125 1742662348.6308
MEM 695.261719 1742662348.7423
MEM 705.066406 1742662348.8535
MEM 730.074219 1742662348.9648
MEM 900.089844 1742662349.0749
MEM 1126.976562 1742662349.1862
FUNC model.Outer_EGCN_elastic.forward 729.8867 1742662348.9605 1053.3320 1742662349.1390 0
FUNC model.Outer_EGCN_elastic.forward 1196.8750 1742662349.2163 1196.8281 1742662349.2231 0
FUNC model.Outer_EGCN_elastic.forward 1196.9062 1742662349.2291 1196.9062 1742662349.2337 0
FUNC model.Outer_EGCN_elastic.forward 1196.9141 1742662349.2337 1196.9180 1742662349.2521 0
FUNC model.Outer_EGCN_elastic.forward 1197.3164 1742662349.2607 1197.4492 1742662349.2683 0
FUNC model.Outer_EGCN_elastic.forward 1197.4688 1742662349.2744 1197.4766 1742662349.2816 0
FUNC model.Outer_EGCN_elastic.forward 1197.4844 1742662349.2850 1197.4844 1742662349.2958 0
FUNC model.Outer_EGCN_elastic.forward 1197.5117 1742662349.3023 1197.5156 1742662349.3052 0
FUNC model.Outer_EGCN_elastic.forward 1197.5430 1742662349.3133 1197.5469 1742662349.3227 0
FUNC model.Outer_EGCN_elastic.forward 1197.6094 1742662349.3293 1197.6094 1742662349.3386 0
FUNC model.Outer_EGCN_elastic.forward 1197.6172 1742662349.3450 1197.6328 1742662349.3565 0
FUNC model.Outer_EGCN_elastic.forward 1197.6328 1742662349.3606 1197.6328 1742662349.3677 0
FUNC model.Outer_EGCN_elastic.forward 1197.6953 1742662349.3726 1197.6953 1742662349.3805 0
FUNC model.Outer_EGCN_elastic.forward 1197.6953 1742662349.3859 1197.8242 1742662349.3922 0
FUNC model.Outer_EGCN_elastic.forward 1197.8242 1742662349.3956 1197.8867 1742662349.4047 0
FUNC model.Outer_EGCN_elastic.forward 1197.8867 1742662349.4082 1198.0156 1742662349.4171 0
FUNC model.Outer_EGCN_elastic.forward 1198.0156 1742662349.4171 1198.0156 1742662349.4243 0
FUNC model.Outer_EGCN_elastic.forward 1198.0273 1742662349.4296 1198.0391 1742662349.4401 0
FUNC model.Outer_EGCN_elastic.forward 1198.1211 1742662349.4401 1198.1289 1742662349.4486 0
FUNC model.Outer_EGCN_elastic.forward 1198.1367 1742662349.4562 1198.1484 1742662349.4631 0
FUNC model.Outer_EGCN_elastic.forward 1198.3281 1742662349.4761 1198.3281 1742662349.4787 0
FUNC model.Outer_EGCN_elastic.forward 1198.3281 1742662349.4879 1198.3359 1742662349.4970 0
FUNC model.Outer_EGCN_elastic.forward 1198.3359 1742662349.5028 1198.3359 1742662349.5095 0
FUNC model.Outer_EGCN_elastic.forward 1198.3359 1742662349.5139 1198.3359 1742662349.5199 0
FUNC model.Outer_EGCN_elastic.forward 1198.3359 1742662349.5256 1198.3359 1742662349.5276 0
FUNC model.Outer_EGCN_elastic.forward 1198.3359 1742662349.5376 1198.3984 1742662349.5452 0
FUNC model.Outer_EGCN_elastic.forward 1198.3984 1742662349.5452 1198.3984 1742662349.5547 0
FUNC model.Outer_EGCN_elastic.forward 1198.3984 1742662349.5606 1198.3984 1742662349.5670 0
FUNC model.Outer_EGCN_elastic.forward 1198.3984 1742662349.5719 1198.3984 1742662349.5803 0
FUNC model.Outer_EGCN_elastic.forward 1198.3984 1742662349.5850 1198.5000 1742662349.5913 0
FUNC model.Outer_EGCN_elastic.forward 1198.5000 1742662349.5964 1198.5000 1742662349.6037 0
FUNC model.Outer_EGCN_elastic.forward 1198.5000 1742662349.6037 1198.5000 1742662349.6064 0
FUNC model.Outer_EGCN_elastic.forward 1198.5000 1742662349.6145 1198.5000 1742662349.6195 0
FUNC model.Outer_EGCN_elastic.forward 1198.5000 1742662349.6195 1198.5000 1742662349.6302 0
FUNC model.Outer_EGCN_elastic.forward 1198.5000 1742662349.6302 1198.5000 1742662349.6400 0
FUNC model.Outer_EGCN_elastic.forward 1198.5000 1742662349.6428 1198.5000 1742662349.6462 0
FUNC model.Outer_EGCN_elastic.forward 1198.5000 1742662349.6519 1198.5000 1742662349.6589 0
FUNC model.Outer_EGCN_elastic.forward 1198.5000 1742662349.6619 1198.5000 1742662349.6670 0
FUNC model.Outer_EGCN_elastic.forward 1198.5625 1742662349.6702 1198.5625 1742662349.6775 0
FUNC model.Outer_EGCN_elastic.forward 1198.5625 1742662349.6775 1198.5625 1742662349.6860 0
MEM 1197.484375 1742662349.2975
MEM 1197.886719 1742662349.4082
MEM 1198.335938 1742662349.5199
MEM 1198.500000 1742662349.6302
MEM 1198.621094 1742662349.7409
MEM 1198.632812 1742662349.8516
MEM 1198.421875 1742662349.9622
MEM 1191.148438 1742662350.0727
MEM 582.828125 1742662350.1844
